Sequence 1, is of length 4080, mapped to Original, on beginning location of: 11173
Sequence 11569, is of length 11112, mapped to Complement, on beginning location of: 13494
Sequence 11572, is of length 8753, mapped to Complement, on beginning location of: 2909488
Sequence 11575, is of length 10699, mapped to Complement, on beginning location of: 1082699
Sequence 11578, is of length 5979, mapped to Complement, on beginning location of: 4318759
Sequence 11581, is of length 7680, mapped to Complement, on beginning location of: 33311
Sequence 11584, is of length 8509, mapped to Original, on beginning location of: 2267149
Sequence 11587, is of length 8471, mapped to Complement, on beginning location of: 19579
Sequence 11590, is of length 9416, mapped to Complement, on beginning location of: 1104130
Sequence 11593, is of length 6086, mapped to Complement, on beginning location of: 22385
Sequence 11596, is of length 6129, mapped to Original, on beginning location of: 3605186
Sequence 11599, is of length 8611, mapped to Complement, on beginning location of: 1764300
Sequence 11602, is of length 10471, mapped to Original, on beginning location of: 459417
Sequence 11605, is of length 3536, mapped to Original, on beginning location of: 13280
Sequence 11608, is of length 2112, mapped to Original, on beginning location of: 3741
Sequence 11611, is of length 5199, mapped to Complement, on beginning location of: 30181
Sequence 11614, is of length 1283, mapped to Original, on beginning location of: 4191753
Sequence 11617, is of length 8648, mapped to Original, on beginning location of: 42796
Sequence 11620, is of length 5783, mapped to Complement, on beginning location of: 33018
Sequence 11623, is of length 10417, mapped to Original, on beginning location of: 15519
Sequence 11626, is of length 18504, mapped to Complement, on beginning location of: 2409269
Sequence 11629, is of length 10316, mapped to Original, on beginning location of: 1612
Sequence 11632, is of length 7955, mapped to Original, on beginning location of: 1615
Sequence 11635, is of length 13631, mapped to Complement, on beginning location of: 3805973
Sequence 11638, is of length 14221, mapped to Complement, on beginning location of: 423812
Sequence 11641, is of length 6016, mapped to Complement, on beginning location of: 2654946
Sequence 11644, is of length 6001, mapped to Complement, on beginning location of: 1043890
Sequence 11647, is of length 10572, mapped to Complement, on beginning location of: 20211
Sequence 11650, is of length 9713, mapped to Complement, on beginning location of: 4340846
Sequence 11653, is of length 4819, mapped to Complement, on beginning location of: 1570553
Sequence 11656, is of length 8148, mapped to Complement, on beginning location of: 7689
Sequence 11659, is of length 13631, mapped to Complement, on beginning location of: 18430
Sequence 11662, is of length 7780, mapped to Complement, on beginning location of: 2681599
Sequence 11665, is of length 8845, mapped to Original, on beginning location of: 11231
Sequence 11668, is of length 4354, mapped to Original, on beginning location of: 2814695
Sequence 11671, is of length 3504, mapped to Original, on beginning location of: 4872
Sequence 11674, is of length 8679, mapped to Original, on beginning location of: 11557
Sequence 11677, is of length 10222, mapped to Complement, on beginning location of: 3979940
Sequence 11680, is of length 18853, mapped to Original, on beginning location of: 1152069
Sequence 11683, is of length 7484, mapped to Original, on beginning location of: 42390
Sequence 11686, is of length 11283, mapped to Complement, on beginning location of: 304769
Sequence 11689, is of length 7394, mapped to Original, on beginning location of: 3587355
Sequence 11692, is of length 10630, mapped to Original, on beginning location of: 23105
Sequence 11695, is of length 6986, mapped to Complement, on beginning location of: 9244
Sequence 11698, is of length 3941, mapped to Complement, on beginning location of: 4317273
Sequence 11701, is of length 9171, mapped to Original, on beginning location of: 40174
Sequence 11704, is of length 10680, mapped to Complement, on beginning location of: 39329
Sequence 11707, is of length 9133, mapped to Complement, on beginning location of: 4024883
Sequence 11710, is of length 14609, mapped to Complement, on beginning location of: 2631841
Sequence 11713, is of length 10421, mapped to Original, on beginning location of: 44245
Sequence 11716, is of length 2578, mapped to Original, on beginning location of: 3716484
Sequence 11719, is of length 5841, mapped to Original, on beginning location of: 2121616
Sequence 11722, is of length 7294, mapped to Original, on beginning location of: 2126295
Sequence 11725, is of length 12808, mapped to Complement, on beginning location of: 493319
Sequence 11728, is of length 10024, mapped to Complement, on beginning location of: 3157703
Sequence 11731, is of length 6692, mapped to Complement, on beginning location of: 1892660
Sequence 11734, is of length 8014, mapped to Original, on beginning location of: 4019287
Sequence 11737, is of length 11506, mapped to Complement, on beginning location of: 2270782
Sequence 11740, is of length 7471, mapped to Original, on beginning location of: 2337259
Sequence 11743, is of length 9461, mapped to Complement, on beginning location of: 556224
Sequence 11746, is of length 8244, mapped to Complement, on beginning location of: 4066850
Sequence 11749, is of length 6624, mapped to Complement, on beginning location of: 3097382
Sequence 11752, is of length 11595, mapped to Original, on beginning location of: 3014360
Sequence 11755, is of length 9755, mapped to Original, on beginning location of: 26019
Sequence 11758, is of length 8943, mapped to Complement, on beginning location of: 16904
Sequence 11761, is of length 4986, mapped to Original, on beginning location of: 18735
Sequence 11764, is of length 3885, mapped to Original, on beginning location of: 4301775
Sequence 11767, is of length 10316, mapped to Original, on beginning location of: 44058
Sequence 11770, is of length 11009, mapped to Original, on beginning location of: 19248
Sequence 11773, is of length 8909, mapped to Original, on beginning location of: 2070975
Sequence 11776, is of length 5778, mapped to Original, on beginning location of: 2121616
Sequence 11779, is of length 18463, mapped to Original, on beginning location of: 12126
Sequence 11782, is of length 3067, mapped to Original, on beginning location of: 4286876
Sequence 11785, is of length 6518, mapped to Original, on beginning location of: 11408
Sequence 11788, is of length 7908, mapped to Complement, on beginning location of: 27179
Sequence 11791, is of length 6518, mapped to Complement, on beginning location of: 4488663
Sequence 11794, is of length 12043, mapped to Complement, on beginning location of: 6820
Sequence 11797, is of length 11269, mapped to Complement, on beginning location of: 1302548
Sequence 11800, is of length 8560, mapped to Original, on beginning location of: 3399323
Sequence 11803, is of length 1996, mapped to Original, on beginning location of: 15069
Sequence 11806, is of length 19178, mapped to Complement, on beginning location of: 1171215
Sequence 11809, is of length 12718, mapped to Complement, on beginning location of: 11990
Sequence 11812, is of length 10162, mapped to Original, on beginning location of: 3913130
Sequence 11815, is of length 14944, mapped to Complement, on beginning location of: 267715
Sequence 11818, is of length 8108, mapped to Complement, on beginning location of: 8622
Sequence 11821, is of length 8221, mapped to Complement, on beginning location of: 1732718
Sequence 11824, is of length 12490, mapped to Original, on beginning location of: 3660215
Sequence 11827, is of length 3823, mapped to Original, on beginning location of: 1205337
Sequence 11830, is of length 5058, mapped to Complement, on beginning location of: 3053885
Sequence 11833, is of length 13275, mapped to Complement, on beginning location of: 4354777
Sequence 11836, is of length 9858, mapped to Original, on beginning location of: 3383219
Sequence 11839, is of length 9799, mapped to Complement, on beginning location of: 2328197
Sequence 11842, is of length 10395, mapped to Original, on beginning location of: 4393270
Sequence 11845, is of length 7006, mapped to Original, on beginning location of: 17721
Sequence 11848, is of length 8025, mapped to Original, on beginning location of: 16483
Sequence 11851, is of length 9304, mapped to Complement, on beginning location of: 122088
Sequence 11854, is of length 12382, mapped to Complement, on beginning location of: 3663725
Sequence 11857, is of length 8002, mapped to Original, on beginning location of: 2408754
Sequence 11860, is of length 4014, mapped to Complement, on beginning location of: 168532
Sequence 11863, is of length 6203, mapped to Original, on beginning location of: 3062576
Sequence 11866, is of length 10210, mapped to Complement, on beginning location of: 3250613
Sequence 11869, is of length 6457, mapped to Complement, on beginning location of: 782141
Sequence 11872, is of length 14354, mapped to Complement, on beginning location of: 2212729
Sequence 11875, is of length 11036, mapped to Complement, on beginning location of: 3325553
Sequence 11878, is of length 7328, mapped to Complement, on beginning location of: 4335577
Sequence 11881, is of length 10610, mapped to Original, on beginning location of: 264187
Sequence 11884, is of length 7849, mapped to Original, on beginning location of: 7439
Sequence 11887, is of length 26323, mapped to Complement, on beginning location of: 19398
Sequence 11890, is of length 9307, mapped to Original, on beginning location of: 1789080
Sequence 11893, is of length 9372, mapped to Complement, on beginning location of: 30779
Sequence 11896, is of length 6794, mapped to Complement, on beginning location of: 521924
Sequence 11899, is of length 4988, mapped to Original, on beginning location of: 218097
Sequence 11902, is of length 7540, mapped to Complement, on beginning location of: 1273892
Sequence 11905, is of length 12873, mapped to Complement, on beginning location of: 1609485
Sequence 11908, is of length 7245, mapped to Original, on beginning location of: 15871
Sequence 11911, is of length 9296, mapped to Original, on beginning location of: 1160661
Sequence 11914, is of length 5694, mapped to Original, on beginning location of: 591034
Sequence 11917, is of length 13188, mapped to Original, on beginning location of: 3469563
Sequence 11920, is of length 1753, mapped to Original, on beginning location of: 3017925
Sequence 11923, is of length 4221, mapped to Original, on beginning location of: 3892040
Sequence 11926, is of length 12926, mapped to Complement, on beginning location of: 3053885
Sequence 11929, is of length 8447, mapped to Original, on beginning location of: 3365047
Sequence 11932, is of length 1271, mapped to Original, on beginning location of: 43670
Sequence 11935, is of length 9480, mapped to Original, on beginning location of: 1655448
Sequence 11938, is of length 11544, mapped to Original, on beginning location of: 3145784
Sequence 11941, is of length 7751, mapped to Complement, on beginning location of: 4313200
Sequence 11944, is of length 3417, mapped to Original, on beginning location of: 3100
Sequence 11947, is of length 5405, mapped to Original, on beginning location of: 45234
Sequence 11950, is of length 8758, mapped to Complement, on beginning location of: 2608
Sequence 11953, is of length 8433, mapped to Original, on beginning location of: 17452
Sequence 11956, is of length 9771, mapped to Complement, on beginning location of: 19629
Sequence 11959, is of length 19396, mapped to Complement, on beginning location of: 1160343
Sequence 11962, is of length 8464, mapped to Original, on beginning location of: 4305570
Sequence 11965, is of length 6351, mapped to Complement, on beginning location of: 40199
Sequence 11968, is of length 9099, mapped to Complement, on beginning location of: 3534508
Sequence 11971, is of length 2792, mapped to Original, on beginning location of: 30860
Sequence 11974, is of length 8246, mapped to Complement, on beginning location of: 7000
Sequence 11977, is of length 7585, mapped to Original, on beginning location of: 40127
Sequence 11980, is of length 7319, mapped to Original, on beginning location of: 4464829
Sequence 11983, is of length 9443, mapped to Complement, on beginning location of: 36361
Sequence 11986, is of length 9396, mapped to Complement, on beginning location of: 454416
Sequence 11989, is of length 16856, mapped to Complement, on beginning location of: 14256
Sequence 11992, is of length 6608, mapped to Complement, on beginning location of: 3101268
Sequence 11995, is of length 4757, mapped to Original, on beginning location of: 1976378
Sequence 11998, is of length 1966, mapped to Original, on beginning location of: 12261
Sequence 12001, is of length 13617, mapped to Original, on beginning location of: 3231
Sequence 12004, is of length 1108, mapped to Original, on beginning location of: 2137761
Sequence 12007, is of length 7178, mapped to Complement, on beginning location of: 2418020
Sequence 12010, is of length 9339, mapped to Original, on beginning location of: 2244334
Sequence 12013, is of length 5605, mapped to Complement, on beginning location of: 1544633
Sequence 12016, is of length 9972, mapped to Complement, on beginning location of: 821213
Sequence 12019, is of length 8534, mapped to Complement, on beginning location of: 42925
Sequence 12022, is of length 7546, mapped to Complement, on beginning location of: 584641
Sequence 12025, is of length 4404, mapped to Original, on beginning location of: 10961
Sequence 12028, is of length 7857, mapped to Complement, on beginning location of: 1219922
Sequence 12031, is of length 9743, mapped to Original, on beginning location of: 118567
Sequence 12034, is of length 6402, mapped to Complement, on beginning location of: 34960
Sequence 12037, is of length 9166, mapped to Original, on beginning location of: 3871501
Sequence 12040, is of length 7325, mapped to Original, on beginning location of: 4188697
Sequence 12043, is of length 13671, mapped to Original, on beginning location of: 33092
Sequence 12046, is of length 5937, mapped to Original, on beginning location of: 935
Sequence 12049, is of length 8988, mapped to Original, on beginning location of: 920338
Sequence 12052, is of length 1353, mapped to Original, on beginning location of: 27780
Sequence 12055, is of length 7342, mapped to Original, on beginning location of: 259609
Sequence 12058, is of length 10796, mapped to Original, on beginning location of: 27923
Sequence 12061, is of length 4274, mapped to Original, on beginning location of: 17641
Sequence 12064, is of length 4919, mapped to Complement, on beginning location of: 26054
Sequence 12067, is of length 8053, mapped to Original, on beginning location of: 4047292
Sequence 12070, is of length 6069, mapped to Original, on beginning location of: 14634
Sequence 12073, is of length 3521, mapped to Complement, on beginning location of: 1280
Sequence 12076, is of length 9305, mapped to Original, on beginning location of: 1468037
Sequence 12079, is of length 11107, mapped to Complement, on beginning location of: 1365214
Sequence 12082, is of length 13427, mapped to Original, on beginning location of: 2134788
Sequence 12085, is of length 8214, mapped to Complement, on beginning location of: 25068
Sequence 12088, is of length 10547, mapped to Complement, on beginning location of: 4116893
Sequence 12091, is of length 11195, mapped to Complement, on beginning location of: 2397867
Sequence 12094, is of length 6814, mapped to Complement, on beginning location of: 4543081
Sequence 12097, is of length 6373, mapped to Original, on beginning location of: 10831
Sequence 12100, is of length 6701, mapped to Complement, on beginning location of: 13185
Sequence 12103, is of length 4424, mapped to Complement, on beginning location of: 3141412
Sequence 12106, is of length 21381, mapped to Original, on beginning location of: 21996
Sequence 12109, is of length 8604, mapped to Complement, on beginning location of: 1123927
Sequence 12112, is of length 12124, mapped to Complement, on beginning location of: 15556
Sequence 12115, is of length 5297, mapped to Complement, on beginning location of: 30493
Sequence 12118, is of length 9688, mapped to Original, on beginning location of: 20894
Sequence 12121, is of length 11771, mapped to Complement, on beginning location of: 199701
Sequence 12124, is of length 11781, mapped to Complement, on beginning location of: 43990
Sequence 12127, is of length 13069, mapped to Complement, on beginning location of: 1494945
Sequence 12130, is of length 11349, mapped to Complement, on beginning location of: 2720779
Sequence 12133, is of length 10888, mapped to Complement, on beginning location of: 12147
Sequence 12136, is of length 9427, mapped to Original, on beginning location of: 24500
Sequence 12139, is of length 13628, mapped to Complement, on beginning location of: 2592760
Sequence 12142, is of length 8913, mapped to Complement, on beginning location of: 4599805
Sequence 12145, is of length 4510, mapped to Complement, on beginning location of: 2108144
Sequence 12148, is of length 3332, mapped to Original, on beginning location of: 1638
Sequence 12151, is of length 2447, mapped to Complement, on beginning location of: 3758170
Sequence 12154, is of length 9313, mapped to Original, on beginning location of: 17021
Sequence 12157, is of length 8149, mapped to Complement, on beginning location of: 3907810
Sequence 12160, is of length 10684, mapped to Complement, on beginning location of: 10471
Sequence 12163, is of length 1549, mapped to Complement, on beginning location of: 23816
Sequence 12166, is of length 9041, mapped to Complement, on beginning location of: 30382
Sequence 12169, is of length 5290, mapped to Original, on beginning location of: 3918544
Sequence 12172, is of length 2863, mapped to Complement, on beginning location of: 834135
Sequence 12175, is of length 1600, mapped to Complement, on beginning location of: 21749
Sequence 12178, is of length 8732, mapped to Original, on beginning location of: 6189
Sequence 12181, is of length 8269, mapped to Complement, on beginning location of: 2244334
Sequence 12184, is of length 3146, mapped to Original, on beginning location of: 14879
Sequence 12187, is of length 5614, mapped to Original, on beginning location of: 3448028
Sequence 12190, is of length 5910, mapped to Complement, on beginning location of: 1683074
Sequence 12193, is of length 7064, mapped to Complement, on beginning location of: 31010
Sequence 12196, is of length 3606, mapped to Original, on beginning location of: 3557490
Sequence 12199, is of length 10748, mapped to Complement, on beginning location of: 2415970
Sequence 12202, is of length 9714, mapped to Original, on beginning location of: 738359
Sequence 12205, is of length 10025, mapped to Original, on beginning location of: 30637
Sequence 12208, is of length 7539, mapped to Complement, on beginning location of: 453929
Sequence 12211, is of length 7602, mapped to Complement, on beginning location of: 3906061
Sequence 12214, is of length 2661, mapped to Complement, on beginning location of: 89642
Sequence 12217, is of length 10286, mapped to Complement, on beginning location of: 2314365
Sequence 12220, is of length 9262, mapped to Original, on beginning location of: 36626
Sequence 12223, is of length 8183, mapped to Complement, on beginning location of: 24833
Sequence 12226, is of length 7431, mapped to Original, on beginning location of: 4464829
Sequence 12229, is of length 8106, mapped to Original, on beginning location of: 38608
Sequence 12232, is of length 5528, mapped to Original, on beginning location of: 1893756
Sequence 12235, is of length 9039, mapped to Original, on beginning location of: 22929
Sequence 12238, is of length 9682, mapped to Original, on beginning location of: 4495223
Sequence 12241, is of length 9935, mapped to Original, on beginning location of: 33393
Sequence 12244, is of length 7582, mapped to Original, on beginning location of: 42390
Sequence 12247, is of length 14171, mapped to Complement, on beginning location of: 29959
Sequence 12250, is of length 10548, mapped to Original, on beginning location of: 21749
Sequence 12253, is of length 15818, mapped to Original, on beginning location of: 2423057
Sequence 12256, is of length 11422, mapped to Original, on beginning location of: 21688
Sequence 12259, is of length 4380, mapped to Complement, on beginning location of: 4000808
Sequence 12262, is of length 3518, mapped to Original, on beginning location of: 3699389
Sequence 12265, is of length 33156, mapped to Original, on beginning location of: 758517
Sequence 12268, is of length 8326, mapped to Complement, on beginning location of: 1159316
Sequence 12271, is of length 3425, mapped to Complement, on beginning location of: 2568320
Sequence 12274, is of length 17365, mapped to Original, on beginning location of: 21124
Sequence 12277, is of length 2637, mapped to Original, on beginning location of: 10153
Sequence 12280, is of length 1860, mapped to Complement, on beginning location of: 945961
Sequence 12283, is of length 8718, mapped to Original, on beginning location of: 32099
Sequence 12286, is of length 12751, mapped to Original, on beginning location of: 2784
Sequence 12289, is of length 5955, mapped to Original, on beginning location of: 1147215
Sequence 12292, is of length 5082, mapped to Complement, on beginning location of: 166204
Sequence 12295, is of length 7870, mapped to Complement, on beginning location of: 4009824
Sequence 12298, is of length 11278, mapped to Complement, on beginning location of: 15727
Sequence 12301, is of length 12947, mapped to Complement, on beginning location of: 459417
Sequence 12304, is of length 13126, mapped to Original, on beginning location of: 3805496
Sequence 12307, is of length 8521, mapped to Complement, on beginning location of: 45798
Sequence 12310, is of length 9802, mapped to Complement, on beginning location of: 5706
Sequence 12313, is of length 8607, mapped to Original, on beginning location of: 3910516
Sequence 12316, is of length 11341, mapped to Complement, on beginning location of: 25441
Sequence 12319, is of length 9026, mapped to Original, on beginning location of: 856827
Sequence 12322, is of length 21560, mapped to Original, on beginning location of: 2606
Sequence 12325, is of length 12454, mapped to Complement, on beginning location of: 30908
Sequence 12328, is of length 8492, mapped to Original, on beginning location of: 839510
Sequence 12331, is of length 1939, mapped to Original, on beginning location of: 2373783
Sequence 12334, is of length 4015, mapped to Original, on beginning location of: 4301775
Sequence 12337, is of length 8808, mapped to Complement, on beginning location of: 3300301
Sequence 12340, is of length 4159, mapped to Complement, on beginning location of: 17598
Sequence 12343, is of length 3177, mapped to Complement, on beginning location of: 3716438
Sequence 12346, is of length 8985, mapped to Original, on beginning location of: 4545307
Sequence 12349, is of length 4367, mapped to Complement, on beginning location of: 10131
Sequence 12352, is of length 7606, mapped to Complement, on beginning location of: 978269
Sequence 12355, is of length 5885, mapped to Original, on beginning location of: 1683320
Sequence 12358, is of length 13014, mapped to Original, on beginning location of: 44832
Sequence 12361, is of length 7241, mapped to Original, on beginning location of: 756534
Sequence 12364, is of length 9614, mapped to Complement, on beginning location of: 3787330
Sequence 12367, is of length 13196, mapped to Complement, on beginning location of: 2957172
Sequence 12370, is of length 3038, mapped to Complement, on beginning location of: 2867764
Sequence 12373, is of length 12853, mapped to Original, on beginning location of: 22453
Sequence 12376, is of length 5538, mapped to Original, on beginning location of: 3158089
Sequence 12379, is of length 4692, mapped to Original, on beginning location of: 1484186
Sequence 12382, is of length 8567, mapped to Original, on beginning location of: 3060034
Sequence 12385, is of length 6532, mapped to Original, on beginning location of: 937699
Sequence 12388, is of length 4768, mapped to Original, on beginning location of: 3007401
Sequence 12391, is of length 5668, mapped to Complement, on beginning location of: 4292
Sequence 12394, is of length 6969, mapped to Complement, on beginning location of: 782141
Sequence 12397, is of length 1841, mapped to Original, on beginning location of: 2841657
Sequence 12400, is of length 13941, mapped to Original, on beginning location of: 18965
Sequence 12403, is of length 9658, mapped to Original, on beginning location of: 4346762
Sequence 12406, is of length 5028, mapped to Complement, on beginning location of: 3149410
Sequence 12409, is of length 10156, mapped to Original, on beginning location of: 23762
Sequence 12412, is of length 8080, mapped to Complement, on beginning location of: 3808055
Sequence 12415, is of length 5393, mapped to Original, on beginning location of: 42718
Sequence 12418, is of length 9333, mapped to Original, on beginning location of: 1289622
Sequence 12421, is of length 12236, mapped to Complement, on beginning location of: 11661
Sequence 12424, is of length 7428, mapped to Original, on beginning location of: 18807
Sequence 12427, is of length 3092, mapped to Original, on beginning location of: 1223006
Sequence 12430, is of length 6704, mapped to Complement, on beginning location of: 2403
Sequence 12433, is of length 12545, mapped to Original, on beginning location of: 25068
Sequence 12436, is of length 10262, mapped to Complement, on beginning location of: 3825495
Sequence 12439, is of length 8490, mapped to Original, on beginning location of: 44395
Sequence 12442, is of length 14290, mapped to Original, on beginning location of: 4027688
Sequence 12445, is of length 9885, mapped to Original, on beginning location of: 4313200
Sequence 12448, is of length 2472, mapped to Original, on beginning location of: 337207
Sequence 12451, is of length 6089, mapped to Complement, on beginning location of: 2652793
Sequence 12454, is of length 4717, mapped to Original, on beginning location of: 1884791
Sequence 12457, is of length 2873, mapped to Complement, on beginning location of: 3969926
Sequence 12460, is of length 3700, mapped to Complement, on beginning location of: 1683320
Sequence 12463, is of length 12795, mapped to Original, on beginning location of: 43219
Sequence 12466, is of length 7159, mapped to Complement, on beginning location of: 42768
Sequence 12469, is of length 9676, mapped to Original, on beginning location of: 3716438
Sequence 12472, is of length 8051, mapped to Complement, on beginning location of: 2352567
Sequence 12475, is of length 5902, mapped to Original, on beginning location of: 38978
Sequence 12478, is of length 3681, mapped to Original, on beginning location of: 31466
Sequence 12481, is of length 8392, mapped to Original, on beginning location of: 4009824
Sequence 12484, is of length 1602, mapped to Complement, on beginning location of: 2891430
Sequence 12487, is of length 19808, mapped to Original, on beginning location of: 18714
Sequence 12490, is of length 10221, mapped to Original, on beginning location of: 860282
Sequence 12493, is of length 2374, mapped to Original, on beginning location of: 1387336
Sequence 12496, is of length 1373, mapped to Complement, on beginning location of: 37462
Sequence 12499, is of length 9414, mapped to Complement, on beginning location of: 24707
Sequence 12502, is of length 8385, mapped to Complement, on beginning location of: 45539
Sequence 12505, is of length 9666, mapped to Original, on beginning location of: 998630
Sequence 12508, is of length 7548, mapped to Complement, on beginning location of: 1604
Sequence 12511, is of length 6922, mapped to Complement, on beginning location of: 7892
Sequence 12514, is of length 16991, mapped to Complement, on beginning location of: 798976
Sequence 12517, is of length 8238, mapped to Complement, on beginning location of: 3064543
Sequence 12520, is of length 3830, mapped to Original, on beginning location of: 35259
Sequence 12523, is of length 9841, mapped to Original, on beginning location of: 509082
Sequence 12526, is of length 9833, mapped to Original, on beginning location of: 3704691
Sequence 12529, is of length 11282, mapped to Original, on beginning location of: 3508978
Sequence 12532, is of length 7890, mapped to Complement, on beginning location of: 1899878
Sequence 12535, is of length 6399, mapped to Complement, on beginning location of: 31419
Sequence 12538, is of length 13804, mapped to Original, on beginning location of: 12637
Sequence 12541, is of length 3593, mapped to Complement, on beginning location of: 1039131
Sequence 12544, is of length 7993, mapped to Complement, on beginning location of: 4122933
Sequence 12547, is of length 18628, mapped to Complement, on beginning location of: 33018
Sequence 12550, is of length 10636, mapped to Original, on beginning location of: 2332898
Sequence 12553, is of length 4643, mapped to Original, on beginning location of: 1254754
Sequence 12556, is of length 13540, mapped to Original, on beginning location of: 32430
Sequence 12559, is of length 6842, mapped to Complement, on beginning location of: 2591740
Sequence 12562, is of length 4517, mapped to Complement, on beginning location of: 945817
Sequence 12565, is of length 4975, mapped to Complement, on beginning location of: 23487
Sequence 12568, is of length 4854, mapped to Original, on beginning location of: 29053
Sequence 12571, is of length 14741, mapped to Complement, on beginning location of: 2854015
Sequence 12574, is of length 4706, mapped to Original, on beginning location of: 20995
Sequence 12577, is of length 5873, mapped to Original, on beginning location of: 18595
Sequence 12580, is of length 7691, mapped to Complement, on beginning location of: 367907
Sequence 12583, is of length 10378, mapped to Original, on beginning location of: 15519
Sequence 12586, is of length 12956, mapped to Original, on beginning location of: 3955327
Sequence 12589, is of length 10455, mapped to Original, on beginning location of: 3942805
Sequence 12592, is of length 7581, mapped to Original, on beginning location of: 23775
Sequence 12595, is of length 8336, mapped to Complement, on beginning location of: 1929617
Sequence 12598, is of length 10876, mapped to Original, on beginning location of: 963885
Sequence 12601, is of length 7319, mapped to Original, on beginning location of: 4437971
Sequence 12604, is of length 8894, mapped to Complement, on beginning location of: 18555
Sequence 12607, is of length 11687, mapped to Complement, on beginning location of: 2255818
Sequence 12610, is of length 10156, mapped to Original, on beginning location of: 2018848
Sequence 12613, is of length 11875, mapped to Original, on beginning location of: 18556
Sequence 12616, is of length 5481, mapped to Complement, on beginning location of: 24234
Sequence 12619, is of length 7049, mapped to Complement, on beginning location of: 4146239
Sequence 12622, is of length 6068, mapped to Original, on beginning location of: 36113
Sequence 12625, is of length 8190, mapped to Original, on beginning location of: 4388406
Sequence 12628, is of length 2572, mapped to Original, on beginning location of: 424
Sequence 12631, is of length 12270, mapped to Original, on beginning location of: 736132
Sequence 12634, is of length 10073, mapped to Complement, on beginning location of: 21473
Sequence 12637, is of length 8993, mapped to Original, on beginning location of: 2070975
Sequence 12640, is of length 10902, mapped to Original, on beginning location of: 3466976
Sequence 12643, is of length 1402, mapped to Original, on beginning location of: 2581190
Sequence 12646, is of length 5305, mapped to Original, on beginning location of: 1258
Sequence 12649, is of length 14061, mapped to Complement, on beginning location of: 2803620
Sequence 12652, is of length 6466, mapped to Complement, on beginning location of: 13383
Sequence 12655, is of length 11598, mapped to Original, on beginning location of: 2652793
Sequence 12658, is of length 7767, mapped to Original, on beginning location of: 4073
Sequence 12661, is of length 9977, mapped to Complement, on beginning location of: 15373
Sequence 12664, is of length 7220, mapped to Original, on beginning location of: 2328285
Sequence 12667, is of length 17897, mapped to Original, on beginning location of: 11228
Sequence 12670, is of length 3336, mapped to Original, on beginning location of: 2250853
Sequence 12673, is of length 8983, mapped to Original, on beginning location of: 8668
Sequence 12676, is of length 2269, mapped to Original, on beginning location of: 1021514
Sequence 12679, is of length 7627, mapped to Complement, on beginning location of: 3996585
Sequence 12682, is of length 7816, mapped to Original, on beginning location of: 20088
Sequence 12685, is of length 9267, mapped to Original, on beginning location of: 24500
Sequence 12688, is of length 3290, mapped to Complement, on beginning location of: 516880
Sequence 12691, is of length 8359, mapped to Original, on beginning location of: 2867452
Sequence 12694, is of length 6741, mapped to Complement, on beginning location of: 2175371
Sequence 12697, is of length 11054, mapped to Complement, on beginning location of: 976177
Sequence 12700, is of length 3466, mapped to Complement, on beginning location of: 784684
Sequence 12703, is of length 2118, mapped to Complement, on beginning location of: 19269
Sequence 12706, is of length 4927, mapped to Original, on beginning location of: 24455
Sequence 12709, is of length 8935, mapped to Complement, on beginning location of: 43797
Sequence 12712, is of length 5798, mapped to Complement, on beginning location of: 2833325
Sequence 12715, is of length 7073, mapped to Complement, on beginning location of: 41120
Sequence 12718, is of length 9332, mapped to Complement, on beginning location of: 1046695
Sequence 12721, is of length 6143, mapped to Complement, on beginning location of: 985652
Sequence 12724, is of length 2956, mapped to Original, on beginning location of: 21905
Sequence 12727, is of length 6897, mapped to Complement, on beginning location of: 391496
Sequence 12730, is of length 7316, mapped to Original, on beginning location of: 1108962
Sequence 12733, is of length 12510, mapped to Complement, on beginning location of: 2679
Sequence 12736, is of length 8363, mapped to Complement, on beginning location of: 594743
Sequence 12739, is of length 9403, mapped to Original, on beginning location of: 1457082
Sequence 12742, is of length 7229, mapped to Original, on beginning location of: 479218
Sequence 12745, is of length 14334, mapped to Complement, on beginning location of: 14139
Sequence 12748, is of length 5134, mapped to Complement, on beginning location of: 24673
Sequence 12751, is of length 11459, mapped to Complement, on beginning location of: 2227106
Sequence 12754, is of length 18116, mapped to Original, on beginning location of: 1129642
Sequence 12757, is of length 13334, mapped to Complement, on beginning location of: 14219
Sequence 12760, is of length 4010, mapped to Original, on beginning location of: 947120
Sequence 12763, is of length 9003, mapped to Complement, on beginning location of: 4599805
Sequence 12766, is of length 10407, mapped to Complement, on beginning location of: 4009824
Sequence 12769, is of length 12622, mapped to Complement, on beginning location of: 20088
Sequence 12772, is of length 10147, mapped to Complement, on beginning location of: 2011140
Sequence 12775, is of length 14142, mapped to Complement, on beginning location of: 3344278
Sequence 12778, is of length 3186, mapped to Original, on beginning location of: 12816
Sequence 12781, is of length 9313, mapped to Original, on beginning location of: 6580
Sequence 12784, is of length 12276, mapped to Complement, on beginning location of: 42951
Sequence 12787, is of length 8761, mapped to Complement, on beginning location of: 23840
Sequence 12790, is of length 9455, mapped to Original, on beginning location of: 3796207
Sequence 12793, is of length 6796, mapped to Complement, on beginning location of: 509082
Sequence 12796, is of length 7382, mapped to Original, on beginning location of: 1961764
Sequence 12799, is of length 6635, mapped to Complement, on beginning location of: 2846700
